"","ZIP","NUMB","ZIP_END","lng_start","lat_start","lng_end","lat_end","distance_metres","zip_tot_dist","distance_reed_pdx","RPK","portland_native"
"351","60540",1,"97218",-88.14,41.77,-122.59,45.58,2784018.44432993,2784018.44432993,"20.9215","90","no"
"352","60564",1,"97218",-88.2,41.71,-122.59,45.58,2781700.58626105,2781700.58626105,"20.9215","90","no"
"353","60609",1,"97218",-87.66,41.81,-122.59,45.58,2819772.55502019,2819772.55502019,"20.9215","90","no"
"354","60610",1,"97218",-87.64,41.9,-122.59,45.58,2817833.05277865,2817833.05277865,"20.9215","90","no"
"355","60611",1,"97218",-87.61,41.91,-122.59,45.58,2819777.54093445,2819777.54093445,"20.9215","90","no"
"356","60615",3,"97218",-87.6,41.81,-122.59,45.58,2824435.66154657,8473306.98463971,"20.9215","90","no"
"357","60618",1,"97218",-87.7,41.95,-122.59,45.58,2811243.22008002,2811243.22008002,"20.9215","90","no"
"358","60626",2,"97218",-87.67,42.01,-122.59,45.58,2811272.21855325,5622544.43710649,"20.9215","90","no"
"359","60630",1,"97218",-87.76,41.97,-122.59,45.58,2805813.29172087,2805813.29172087,"20.9215","90","no"
"360","60631",1,"97218",-87.82,42,-122.59,45.58,2800002.40501614,2800002.40501614,"20.9215","90","no"
"361","60637",1,"97218",-87.6,41.78,-122.59,45.58,2825607.02743694,2825607.02743694,"20.9215","90","no"
"362","60638",1,"97218",-87.77,41.78,-122.59,45.58,2812393.28923283,2812393.28923283,"20.9215","90","no"
"363","60639",1,"97218",-87.76,41.92,-122.59,45.58,2807736.74065458,2807736.74065458,"20.9215","90","no"
"364","60640",1,"97218",-87.66,41.97,-122.59,45.58,2813582.11353979,2813582.11353979,"20.9215","90","no"
"365","60647",1,"97218",-87.7,41.92,-122.59,45.58,2812398.78090753,2812398.78090753,"20.9215","90","no"
"366","60657",2,"97218",-87.66,41.94,-122.59,45.58,2814735.77054717,5629471.54109435,"20.9215","90","no"
"367","60659",1,"97218",-87.7,41.99,-122.59,45.58,2809707.55088477,2809707.55088477,"20.9215","90","no"
"368","60660",1,"97218",-87.66,41.98,-122.59,45.58,2813198.28605141,2813198.28605141,"20.9215","90","no"
"369","61004",1,"97218",NA,NA,-122.59,45.58,NA,NA,"20.9215","90","no"
"370","61455",1,"97218",-90.6,40.4,-122.59,45.58,2649187.92841041,2649187.92841041,"20.9215","90","no"
"371","61530",1,"97218",-89.2,40.7,-122.59,45.58,2745260.61508922,2745260.61508922,"20.9215","90","no"
"372","61801",1,"97218",-88.21,40.11,-122.59,45.58,2848264.05301164,2848264.05301164,"20.9215","90","no"
"373","62025",1,"97218",-89.9,38.8,-122.59,45.58,2778463.26380566,2778463.26380566,"20.9215","90","no"
"374","62236",1,"97218",-90.2,38.4,-122.59,45.58,2775233.2658644,2775233.2658644,"20.9215","90","no"
"375","63028",1,"97218",-90.4,38.1,-122.59,45.58,2775141.58849421,2775141.58849421,"20.9215","90","no"
"376","63034",1,"97218",-90.28,38.85,-122.59,45.58,2746462.9077998,2746462.9077998,"20.9215","90","no"
"377","63138",1,"97218",-90.18,38.8,-122.59,45.58,2756705.33235848,2756705.33235848,"20.9215","90","no"
"378","63376",1,"97218",-90.63,38.8,-122.59,45.58,2721751.24680679,2721751.24680679,"20.9215","90","no"
"379","64057",1,"97218",-94.31,39.06,-122.59,45.58,2423687.76656526,2423687.76656526,"20.9215","90","no"
"380","64093",1,"97218",-93.7,38.8,-122.59,45.58,2483888.60018738,2483888.60018738,"20.9215","90","no"
"381","64113",1,"97218",-94.59,39.01,-122.59,45.58,2404561.60751413,2404561.60751413,"20.9215","90","no"
"382","64114",1,"97218",-94.6,38.96,-122.59,45.58,2406304.26332162,2406304.26332162,"20.9215","90","no"
"383","65203",3,"97218",-92.4,38.9,-122.59,45.58,2579469.93811306,7738409.81433918,"20.9215","90","no"
"384","66030",1,"97218",-94.94,38.8,-122.59,45.58,2388210.35491157,2388210.35491157,"20.9215","90","no"
"385","66049",1,"97218",-95.36,38.98,-122.59,45.58,2346683.85332664,2346683.85332664,"20.9215","90","no"
"386","66062",1,"97218",-94.78,38.85,-122.59,45.58,2397989.92856298,2397989.92856298,"20.9215","90","no"
"387","66205",1,"97218",-94.63,39.03,-122.59,45.58,2400470.02088876,2400470.02088876,"20.9215","90","no"
"388","66208",1,"97218",-94.63,39.01,-122.59,45.58,2401473.44065258,2401473.44065258,"20.9215","90","no"
"389","66503",1,"97218",-96.7,39.3,-122.59,45.58,2227391.25193247,2227391.25193247,"20.9215","90","no"
"390","67218",1,"97218",-97.28,37.67,-122.59,45.58,2270500.82004178,2270500.82004178,"20.9215","90","no"
"391","68502",1,"97218",-96.7,40.78,-122.59,45.58,2158114.86029187,2158114.86029187,"20.9215","90","no"
"392","68510",1,"97218",-96.65,40.81,-122.59,45.58,2160694.50973526,2160694.50973526,"20.9215","90","no"
"393","70115",1,"97218",-90.1,29.93,-122.59,45.58,3314431.95713741,3314431.95713741,"20.9215","90","no"
"394","70117",1,"97218",-90.03,29.97,-122.59,45.58,3316640.61870692,3316640.61870692,"20.9215","90","no"
"395","70119",2,"97218",-90.09,29.97,-122.59,45.58,3312255.21545527,6624510.43091054,"20.9215","90","no"
"396","70460",1,"97218",-89.83,30.33,-122.59,45.58,3305315.93579658,3305315.93579658,"20.9215","90","no"
"397","70503",1,"97218",-92.06,30.17,-122.59,45.58,3154611.00452032,3154611.00452032,"20.9215","90","no"
"398","72205",2,"97218",-92.35,34.74,-122.59,45.58,2819230.91954112,5638461.83908223,"20.9215","90","no"
"399","72703",1,"97218",-94.1,36.1,-122.59,45.58,2603205.63170669,2603205.63170669,"20.9215","90","no"
"400","72712",1,"97218",-94.3,36.3,-122.59,45.58,2576077.52755235,2576077.52755235,"20.9215","90","no"
"401","73069",1,"97218",-97.46,35.25,-122.59,45.58,2406008.00445155,2406008.00445155,"20.9215","90","no"
"402","73107",1,"97218",-97.57,35.48,-122.59,45.58,2382879.88757416,2382879.88757416,"20.9215","90","no"
"403","73112",1,"97218",-97.57,35.52,-122.59,45.58,2380277.85905777,2380277.85905777,"20.9215","90","no"
"404","73114",1,"97218",-97.52,35.58,-122.59,45.58,2380066.50401501,2380066.50401501,"20.9215","90","no"
"405","74105",1,"97218",-95.97,36.1,-122.59,45.58,2462398.34302318,2462398.34302318,"20.9215","90","no"
