ZIP.x,NUMB,ZIP_END,lng_start,lat_start,lng_end,lat_end,distance_metres,zip_tot_dist,distance_reed_pdx,co2_emission_air_km,portland_native,num,car_fuel_econ,international,pdx_airport,distance_km,co2_emission_car_km,tot_co2_output,everyones_output,city,abb_state,state,ZCTA,Population,Density,Primary Official County Code,Primary Official County Name,County Weights,Official County Name,Official County Code,Imprecise,Military,Timezone,Geo Point
2176,1,97218,-71.06,42.46,-122.59,45.58,4068187.8467791276,4068.19,20.9215,90,no,26,10.93,no,PDX,4068.19,251.03,371389.024145,269186314.7768758,Melrose,MA,Massachusetts,TRUE,28113,2318.1,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.45561, -71.05901"
2356,1,97218,-71.12,42.06,-122.59,45.58,4081239.84865838,4081.24,20.9215,90,no,27,10.93,no,PDX,4081.24,251.03,372563.524145,269186314.7768758,North Easton,MA,Massachusetts,TRUE,13312,374.9,25005,Bristol,"{""25005"": ""100""}",Bristol,25005,FALSE,FALSE,America/New_York,"42.05507, -71.12059"
2375,1,97218,-71.11,42.02,-122.59,45.58,4083775.9977571946,4083.78,20.9215,90,no,28,10.93,no,PDX,4083.78,251.03,372792.124145,269186314.7768758,South Easton,MA,Massachusetts,TRUE,10248,271.6,25005,Bristol,"{""25005"": ""100""}",Bristol,25005,FALSE,FALSE,America/New_York,"42.01746, -71.10147"
2420,2,97218,-71.22,42.46,-122.59,45.58,4056093.2191926898,8112.19,20.9215,90,no,29,10.93,no,PDX,4056.09,251.03,370300.02414500003,269186314.7768758,Lexington,MA,Massachusetts,TRUE,14718,862.7,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.45633, -71.21668"
2421,1,97218,-71.23,42.44,-122.59,45.58,4056206.987410703,4056.21,20.9215,90,no,30,10.93,no,PDX,4056.21,251.03,370310.824145,269186314.7768758,Lexington,MA,Massachusetts,TRUE,18622,730.1,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.43853, -71.23999"
2446,1,97218,-71.12,42.34,-122.59,45.58,4068891.7934800666,4068.89,20.9215,90,no,31,10.93,no,PDX,4068.89,251.03,371452.024145,269186314.7768758,Brookline,MA,Massachusetts,TRUE,29862,8958.5,25021,Norfolk,"{""25021"": ""100""}",Norfolk,25021,FALSE,FALSE,America/New_York,"42.34356, -71.12167"
2451,1,97218,-71.26,42.4,-122.59,45.58,4055680.1401155596,4055.68,20.9215,90,no,32,10.93,no,PDX,4055.68,251.03,370263.124145,269186314.7768758,Waltham,MA,Massachusetts,TRUE,18246,1275,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.39821, -71.25711"
2458,1,97218,-71.19,42.35,-122.59,45.58,4063158.527237092,4063.16,20.9215,90,no,33,10.93,no,PDX,4063.16,251.03,370936.32414499996,269186314.7768758,Newton,MA,Massachusetts,TRUE,12778,2470.9,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.3528, -71.18748"
2460,1,97218,-71.21,42.35,-122.59,45.58,4061645.3938525734,4061.65,20.9215,90,no,34,10.93,no,PDX,4061.65,251.03,370800.424145,269186314.7768758,Newtonville,MA,Massachusetts,TRUE,9773,2807.7,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.35196, -71.2083"
2465,1,97218,-71.23,42.35,-122.59,45.58,4060132.1970375404,4060.13,20.9215,90,no,35,10.93,no,PDX,4060.13,251.03,370663.624145,269186314.7768758,West Newton,MA,Massachusetts,TRUE,11814,2034.3,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.34914, -71.22665"
2467,1,97218,-71.16,42.32,-122.59,45.58,4066741.568767867,4066.74,20.9215,90,no,36,10.93,no,PDX,4066.74,251.03,371258.524145,269186314.7768758,Chestnut Hill,MA,Massachusetts,TRUE,22269,1764.4,25021,Norfolk,"{""25021"": ""38.86"", ""25017"": ""37.9"", ""25025"": ""23.24""}",Norfolk|Middlesex|Suffolk,25021|25017|25025,FALSE,FALSE,America/New_York,"42.3164, -71.16117"
2468,1,97218,-71.23,42.33,-122.59,45.58,4061006.913009611,4061.01,20.9215,90,no,37,10.93,no,PDX,4061.01,251.03,370742.824145,269186314.7768758,Waban,MA,Massachusetts,TRUE,5623,1465.4,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.3273, -71.23077"
2472,1,97218,-71.18,42.37,-122.59,45.58,4063040.740282526,4063.04,20.9215,90,no,38,10.93,no,PDX,4063.04,251.03,370925.524145,269186314.7768758,Watertown,MA,Massachusetts,TRUE,35518,3397.1,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.37, -71.17725"
2474,1,97218,-71.16,42.42,-122.59,45.58,4062371.1352942404,4062.37,20.9215,90,no,39,10.93,no,PDX,4062.37,251.03,370865.224145,269186314.7768758,Arlington,MA,Massachusetts,TRUE,27878,3528.6,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.42026, -71.15651"
2476,1,97218,-71.18,42.42,-122.59,45.58,4060858.8040889143,4060.86,20.9215,90,no,40,10.93,no,PDX,4060.86,251.03,370729.324145,269186314.7768758,Arlington,MA,Massachusetts,TRUE,17426,3214.7,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.41624, -71.17518"
2478,1,97218,-71.18,42.4,-122.59,45.58,4061730.911614052,4061.73,20.9215,90,no,41,10.93,no,PDX,4061.73,251.03,370807.624145,269186314.7768758,Belmont,MA,Massachusetts,TRUE,26099,2170.2,25017,Middlesex,"{""25017"": ""100""}",Middlesex,25017,FALSE,FALSE,America/New_York,"42.39603, -71.17952"
2536,1,97218,-70.56,41.6,-122.59,45.58,4144436.6389096384,4144.44,20.9215,90,no,42,10.93,no,PDX,4144.44,251.03,378251.524145,269186314.7768758,East Falmouth,MA,Massachusetts,TRUE,19630,273.9,25001,Barnstable,"{""25001"": ""100""}",Barnstable,25001,FALSE,FALSE,America/New_York,"41.59694, -70.56721"
2632,1,97218,-70.35,41.66,-122.59,45.58,4157633.8253405583,4157.63,20.9215,90,no,43,10.93,no,PDX,4157.63,251.03,379438.624145,269186314.7768758,Centerville,MA,Massachusetts,TRUE,10208,538.5,25001,Barnstable,"{""25001"": ""100""}",Barnstable,25001,FALSE,FALSE,America/New_York,"41.66056, -70.34749"
