zip,num,distance_air,state,international,distance_km,mode,distance_car,portland_native,total_emission_air,total_emission_car,ind_emission_gas,ind_emission_electric,state_emission,state_emission_per_cap,SCC_IWG,SCC_state_emission_per_cap,SCC_state_emission
97324,1,0,OR,no,153.55,Drive,141.93552,Non-Native,0,0.14252289778445623,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97330,3,0,OR,no,122.53,Drive,110.76207000000001,Non-Native,0,0.1112204413736941,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97361,1,0,OR,no,107.6,Drive,96.35455,Non-Native,0,0.09675329812239584,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97370,1,0,OR,no,121.25,Drive,109.9881,Non-Native,0,0.1104432684208051,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97381,1,0,OR,no,75.7,Drive,64.53518,Non-Native,0,0.06480224867349262,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97385,1,0,OR,no,81.01,Drive,69.35075,Non-Native,0,0.06963774715113862,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97394,1,0,OR,no,171.97,Drive,161.01570999999998,Non-Native,0,0.1616820481442675,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97404,1,0,OR,no,169.1,Drive,157.10369,Non-Native,0,0.15775383886592234,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97405,5,0,OR,no,191.31,Drive,179.32426,Non-Native,0,0.1800663651935277,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97420,1,0,OR,no,270.67,Drive,258.69960000000003,Non-Native,0,0.2597701875307866,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97424,1,0,OR,no,211.78,Drive,199.85468,Non-Native,0,0.20068174710167835,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97456,1,0,OR,no,146.02,Drive,134.17501000000001,Non-Native,0,0.13473027213666033,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97459,1,0,OR,no,270.67,Drive,258.69960000000003,Non-Native,0,0.2597701875307866,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97471,1,0,OR,no,274.65,Drive,262.46492,Non-Native,0,0.26355108971429764,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97477,1,0,OR,no,171.18,Drive,159.25915,Non-Native,0,0.15991821889749222,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97504,1,0,OR,no,365.52,Drive,353.56375,Non-Native,0,0.3550269178676278,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97520,3,0,OR,no,376.33,Drive,364.61166,Non-Native,0,0.36612054790232146,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97526,1,0,OR,no,348.93,Drive,336.6752,Non-Native,0,0.33806847726461536,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97527,2,0,OR,no,359.89,Drive,347.61440000000005,Non-Native,0,0.3490529474201038,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97530,1,0,OR,no,377.69,Drive,365.58496,Non-Native,0,0.36709787575100666,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97701,1,0,OR,no,203.27,Drive,195.73126000000002,Non-Native,0,0.1965412629777439,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97702,5,0,OR,no,213.02,Drive,205.20257,Non-Native,0,0.20605176850176563,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
97756,1,0,OR,no,179.71,Drive,173.59213,Non-Native,0,0.17431051367674588,4.964004867013283,3.235054908769426,5.899579962977419,0.029061970260972507,53,1.540284423831543,312.6777380378032
98004,2,0,WA,no,228.94,Drive,240.16057,Non-Native,0,0.24115443667636366,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98005,1,0,WA,no,229.35,Drive,240.60076999999998,Non-Native,0,0.24159645837470042,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98006,4,0,WA,no,222.97,Drive,234.25167000000002,Non-Native,0,0.23522108362479086,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98008,2,0,WA,no,228.94,Drive,240.23743,Non-Native,0,0.24123161474936264,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98011,1,0,WA,no,243.39,Drive,254.58039000000002,Non-Native,0,0.25563393082927377,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98012,4,0,WA,no,253.34,Drive,264.49878,Non-Native,0,0.26559336652342824,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98021,1,0,WA,no,248.92,Drive,260.08975,Non-Native,0,0.2611660904475129,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98027,2,0,WA,no,218.45,Drive,229.85604999999998,Non-Native,0,0.23080727304404747,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98036,2,0,WA,no,248.26,Drive,259.36793,Non-Native,0,0.26044128330918154,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98039,1,0,WA,no,229.86,Drive,241.05677,Non-Native,0,0.24205434545884763,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98040,2,0,WA,no,222.13,Drive,233.34545,Non-Native,0,0.23431111337611574,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98045,1,0,WA,no,229.44,Drive,240.99289000000002,Non-Native,0,0.24199020110153333,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98050,1,0,WA,no,222.32,Drive,233.74651999999998,Non-Native,0,0.23471384314111332,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98052,1,0,WA,no,236.51,Drive,247.78280999999998,Non-Native,0,0.24880822011555204,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98059,2,0,WA,no,216.87,Drive,228.20059,Non-Native,0,0.22914496218369163,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98070,2,0,WA,no,202.72,Drive,213.6979,Non-Native,0,0.2145822550863445,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98072,2,0,WA,no,245.21,Drive,256.44342,Non-Native,0,0.2575046706853674,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98073,1,NA,WA,no,NA,NA,NA,Non-Native,NA,NA,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98074,1,0,WA,no,229.86,Drive,241.20347,Non-Native,0,0.2422016525536818,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98075,1,0,WA,no,226.87,Drive,238.23406,Non-Native,0,0.23921995411829267,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98077,3,0,WA,no,244.93,Drive,256.21981,Non-Native,0,0.25728013531061705,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98101,1,0,WA,no,226.85,Drive,237.9652,Non-Native,0,0.23894998148354749,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
98103,2,0,WA,no,233.44,Drive,244.52919,Non-Native,0,0.24554113552186146,4.964004867013283,3.235054908769426,16.552226919787447,0.12931427281083943,53,6.8536564589744895,877.2680267487347
