
ZIP                                                         , NUMB                        
"87052"                                                     ,    1                        
"87083"                                                     ,    1                        
"87104"                                                     ,    1                        
"87106"                                                     ,    2                        
"87108"                                                     ,    1                        
"87501"                                                     ,    1                        
"87505"                                                     ,    3                        
"87506"                                                     ,    1                        
"87560"                                                     ,    1                        
"88001"                                                     ,    1                        
"88061"                                                     ,    1                        
"89002"                                                     ,    1                        
"89031"                                                     ,    1                        
"89074"                                                     ,    1                        
"89102"                                                     ,    1                        
"89128"                                                     ,    1                        
"89131"                                                     ,    1                        
"89141"                                                     ,    1                        
"89146"                                                     ,    1                        
"89147"                                                     ,    1                        
"89169"                                                     ,    1                        
"89183"                                                     ,    1                        
"89511"                                                     ,    1                        
"90004"                                                     ,    2                        
"90016"                                                     ,    1                        
"90019"                                                     ,    1                        
"90026"                                                     ,    1                        
"90031"                                                     ,    1                        
"90032"                                                     ,    1                        
"90034"                                                     ,    1                        
"90036"                                                     ,    1                        
"90042"                                                     ,    3                        
"90048"                                                     ,    2                        
"90049"                                                     ,    2                        
"90064"                                                     ,    1                        
"90066"                                                     ,    1                        
"90068"                                                     ,    1                        
"90077"                                                     ,    2                        
"90094"                                                     ,    1                        
"90210"                                                     ,    1                        
"90212"                                                     ,    1                        
"90242"                                                     ,    1                        
"90266"                                                     ,    4                        
"90272"                                                     ,    2                        
"90277"                                                     ,    1                        
"90290"                                                     ,    2                        
"90291"                                                     ,    1                        
"90302"                                                     ,    1                        
"90405"                                                     ,    3                        
"90503"                                                     ,    1                        
"90605"                                                     ,    1                        
"90638"                                                     ,    1                        
"90703"                                                     ,    2                        
"90706"                                                     ,    1                        
"90803"                                                     ,    1                        
"90806"                                                     ,    1                        
"90808"                                                     ,    1                        
"90815"                                                     ,    1                        
"91001"                                                     ,    1                        
"91007"                                                     ,    1                        
"91011"                                                     ,    1                        
"91016"                                                     ,    2                        
"91030"                                                     ,    2                        
"91103"                                                     ,    1                        
"91104"                                                     ,    1                        
"91106"                                                     ,    3                        
"91107"                                                     ,    2                        
"91202"                                                     ,    1                        
"91208"                                                     ,    1                        
"91214"                                                     ,    1                        
"91307"                                                     ,    1                        
"91316"                                                     ,    1                        
"91325"                                                     ,    2                        
"91340"                                                     ,    1                        
"91355"                                                     ,    1                        
"91356"                                                     ,    1                        
"91377"                                                     ,    1                        
"91381"                                                     ,    1                        
"91401"                                                     ,    1                        
"91423"                                                     ,    1                        
"91702"                                                     ,    1                        
"91709"                                                     ,    1                        
"91711"                                                     ,    2                        
"91745"                                                     ,    1                        
"91766"                                                     ,    1                        
"91768"                                                     ,    1                        
"91786"                                                     ,    1                        
"91932"                                                     ,    1                        
"91941"                                                     ,    1                        
"92014"                                                     ,    3                        
"92024"                                                     ,    3                        
"92037"                                                     ,    1                        
"92069"                                                     ,    1                        
"92084"                                                     ,    2                        
"92103"                                                     ,    1                        
"92104"                                                     ,    1                        
"92107"                                                     ,    1                        
"92109"                                                     ,    1                        
"92111"                                                     ,    1                        
"92115"                                                     ,    1                        
"92116"                                                     ,    1                        
"92117"                                                     ,    1                        
"92120"                                                     ,    1                        
"92123"                                                     ,    1                        
"92127"                                                     ,    1                        
"92130"                                                     ,    4                        
"92602"                                                     ,    1                        
"92603"                                                     ,    2                        
"92606"                                                     ,    1                        
"92612"                                                     ,    1                        
"92617"                                                     ,    1                        
"92618"                                                     ,    1                        
"92646"                                                     ,    1                        
"92651"                                                     ,    3                        
"92656"                                                     ,    1                        
"92660"                                                     ,    1                        
"92672"                                                     ,    1                        
"92675"                                                     ,    2                        
"92688"                                                     ,    1                        
"92705"                                                     ,    1                        
"92831"                                                     ,    2                        
"92832"                                                     ,    2                        
"92833"                                                     ,    1                        
"93004"                                                     ,    1                        
"93023"                                                     ,    1                        
"93103"                                                     ,    1                        
"93105"                                                     ,    1                        
"93110"                                                     ,    2                        
"93111"                                                     ,    3                        
"93117"                                                     ,    1                        
"93401"                                                     ,    1                        
"93446"                                                     ,    1                        
"93536"                                                     ,    1                        
"93908"                                                     ,    1                        
"93950"                                                     ,    1                        
"94002"                                                     ,    2                        
"94010"                                                     ,    6                        
"94022"                                                     ,    3                        
"94024"                                                     ,    5                        
"94025"                                                     ,    6                        
"94027"                                                     ,    2                        
"94028"                                                     ,    2                        
"94030"                                                     ,    1                        
"94040"                                                     ,    2                        
"94041"                                                     ,    1                        
"94044"                                                     ,    1                        
"94061"                                                     ,    2                        
"94062"                                                     ,    3                        
"94066"                                                     ,    1                        
"94070"                                                     ,    4                        
"94087"                                                     ,    4                        
"94110"                                                     ,    6                        
"94112"                                                     ,    3                        
"94114"                                                     ,    3                        
"94115"                                                     ,    2                        
"94116"                                                     ,    1                        
"94117"                                                     ,    4                        
"94118"                                                     ,    3                        
"94121"                                                     ,    1                        
"94122"                                                     ,    5                        
"94123"                                                     ,    1                        
"94127"                                                     ,    1                        
"94131"                                                     ,    1                        
"94132"                                                     ,    1                        
"94133"                                                     ,    2                        
"94134"                                                     ,    1                        
"94301"                                                     ,    2                        
"94303"                                                     ,    1                        
"94305"                                                     ,    1                        
"94306"                                                     ,    2                        
"94401"                                                     ,    2                        
"94402"                                                     ,    2                        
"94403"                                                     ,    1                        
"94404"                                                     ,    3                        
"94503"                                                     ,    1                        
"94515"                                                     ,    1                        
"94517"                                                     ,    1                        
"94521"                                                     ,    1                        
"94523"                                                     ,    1                        
"94526"                                                     ,    1                        
"94530"                                                     ,    3                        
"94539"                                                     ,    3                        
"94541"                                                     ,    1                        
"94546"                                                     ,    2                        
"94549"                                                     ,    2                        
"94550"                                                     ,    1                        
"94553"                                                     ,    2                        
"94556"                                                     ,    3                        
"94558"                                                     ,    2                        
"94563"                                                     ,    3                        
"94566"                                                     ,    2                        
"94568"                                                     ,    2                        
"94577"                                                     ,    2                        
"94582"                                                     ,    4                        
"94586"                                                     ,    1                        
"94587"                                                     ,    1                        
"94588"                                                     ,    1                        
"94596"                                                     ,    1                        
"94602"                                                     ,    4                        
"94609"                                                     ,    1                        
"94610"                                                     ,    2                        
"94611"                                                     ,    2                        
"94618"                                                     ,    3                        
"94702"                                                     ,    2                        
"94703"                                                     ,    3                        
"94704"                                                     ,    1                        
"94705"                                                     ,    3                        
"94706"                                                     ,    2                        
"94707"                                                     ,    3                        
"94708"                                                     ,    1                        
"94709"                                                     ,    1                        
"94710"                                                     ,    1                        
"94803"                                                     ,    1                        
"94804"                                                     ,    1                        
"94901"                                                     ,    1                        
"94903"                                                     ,    4                        
"94904"                                                     ,    3                        
"94920"                                                     ,    1                        
"94928"                                                     ,    2                        
"94930"                                                     ,    2                        
"94937"                                                     ,    1                        
"94939"                                                     ,    3                        
"94941"                                                     ,    9                        
"94945"                                                     ,    1                        
"94947"                                                     ,    1                        
"94952"                                                     ,    3                        
"94954"                                                     ,    1                        
"94960"                                                     ,    4                        
"94973"                                                     ,    1                        
"95008"                                                     ,    3                        
"95010"                                                     ,    2                        
"95014"                                                     ,    5                        
"95023"                                                     ,    1                        
"95030"                                                     ,    1                        
"95032"                                                     ,    6                        
"95037"                                                     ,    1                        
"95060"                                                     ,    2                        
"95062"                                                     ,    2                        
"95064"                                                     ,    1                        
"95070"                                                     ,    1                        
"95073"                                                     ,    2                        
"95076"                                                     ,    2                        
"95117"                                                     ,    1                        
"95120"                                                     ,    1                        
"95121"                                                     ,    1                        
"95124"                                                     ,    2                        
"95125"                                                     ,    3                        
"95126"                                                     ,    1                        
"95129"                                                     ,    1                        
"95133"                                                     ,    1                        
"95135"                                                     ,    2                        
"95136"                                                     ,    1                        
"95382"                                                     ,    1                        
"95404"                                                     ,    1                        
"95405"                                                     ,    1                        
"95442"                                                     ,    1                        
"95460"                                                     ,    1                        
"95472"                                                     ,    3                        
"95476"                                                     ,    1                        
"95482"                                                     ,    1                        
"95490"                                                     ,    1                        
"95492"                                                     ,    1                        
"95519"                                                     ,    1                        
"95616"                                                     ,    3                        
"95618"                                                     ,    1                        
"95628"                                                     ,    2                        
"95630"                                                     ,    1                        
"95646"                                                     ,    1                        
"95677"                                                     ,    1                        
"95682"                                                     ,    1                        
"95685"                                                     ,    1                        
"95762"                                                     ,    1                        
"95776"                                                     ,    1                        
"95818"                                                     ,    1                        
"95820"                                                     ,    1                        
"95821"                                                     ,    1                        
"95831"                                                     ,    1                        
"95835"                                                     ,    1                        
"95962"                                                     ,    1                        
"95969"                                                     ,    1                        
"95991"                                                     ,    1                        
"96003"                                                     ,    1                        
"96067"                                                     ,    1                        
"96103"                                                     ,    1                        
"96720"                                                     ,    1                        
"96734"                                                     ,    1                        
"96741"                                                     ,    1                        
"96743"                                                     ,    1                        
"96748"                                                     ,    1                        
"96749"                                                     ,    1                        
"96764"                                                     ,    1                        
"96768"                                                     ,    1                        
"96770"                                                     ,    1                        
"96789"                                                     ,    1                        
"96818"                                                     ,    1                        
"96821"                                                     ,    1                        
"96825"                                                     ,    1                        
